full_text,translated_text,sentimen
mantepp kerennnnnsemangatttt Bank Indonesia berinovasi utk kemajuan indonesia,mantep spirit of bank indonesia spirit insovation for indonesia progress,Netral
bangga sumpahh,proud oathh,Positif
buatan indonesia boss,made in indonesia boss,Netral
emng gampang kalau pake qris,it's easy to use qris,Positif
ga kena potongan kan,not hit by a piece right,Positif
keren,cool,Positif
bangga g,proud g,Positif
saya kerja malaysia pakai akun dana sebulan mengkatipkan dana bisnis tak untuk bayar payment malaysia,i work malaysia using a fund account for a month to activate the non -business funds to pay malaysian payments,Netral
syarat qris,qris requirements,Netral
arab saudi min bertanya nada uang,saudi arabia min asked the tone of money,Netral
waaaah qris go internasional,waaaah qris go international,Netral
moga2 dikorupsi untungnya bermanfaat negara,hopefully corrupted by fortunately the country is useful,Positif
kereeeeen,kereeeeen,Netral
geta,geta,Netral
qris dana bisa bayar bill penarikan dana lama bangett nunggu 24jam,"qris dana can pay the bill withdrawing the old funds, waiting for 24 hours",Positif
thailand kemaren baru app bank bca ini nya,"thailand yesterday, this bca bank app yesterday",Netral
kena biaya admin pas ln,hit the admin fee when ln,Netral
kereen,kereen,Netral
qris mempermudah,qris made it easier,Netral
maroko belum nih berbicara nada lantang,morocco hasn't spoken loud tone,Positif
keren,cool,Positif
semenjak bayar pake qris g pernah dgr 400 ny didonasikan qaqa alfamart,"since paying using qris, i have ever been donated by qaqa alfamart",Netral
si mamangrika suka ini,the mamangrika likes this,Netral
keren,cool,Positif
bebal,bebal,Netral
bacanya qris guisss buka kyuris,read qris guisss open kyuris,Netral
keren,cool,Positif
pembayaran makin gampang makin mengalir semakin jauh uang uangku tidak seberapa,payment is getting easier to flow the further away my money is not much,Negatif
qris is going global,qris is going global,Netral
korea,korea,Netral
koreaaaaaa dongg plissss,korea please plissss,Netral
pakai qris luar negri tiap sekali transaksi kena biaya admin bank kita pakai biaya admin negara tersebut kalau berapa biaya adminnya,"use qris foreign countries every once a transaction is subject to the bank admin fee, we use the state admin fee if how much admin fees",Negatif
jepang di toko yang pakai qris,japan in a shop that uses qris,Netral
kalau bepergian bayar ngucapnya min bayar pakai qris bahasa asing bayar menggunakan kode qrdalam bahasa asing,"if you travel to pay for the way you pay, pay using a foreign language qris to pay using the qrd code in a foreign language",Negatif
ratenya bank indonesia kin nangis diki,the rate of bank indonesia is crying,Negatif
keren qris,cool qris,Positif
panggil qr tak panggil keris,call qr not call keris,Netral
bangga kita punya qris,proud we have qris,Positif
keren,cool,Positif
akhirnya berita baik negara enih,finally the good news of the country is enih,Positif
gokil,gokil,Netral
lah masa gua nambah 1000 tiap belanja bayar pakai qris kalau gini g laku pakai qris,"i am adding to 1000 every time i pay for a shopping using qris if it's like this, using qris",Netral
sederhana bikin trump ketar ketir,simple make trump skisped,Netral
udh coba sg ampe kget ada kwwkwk,already try sg until there is kget there is a kwwkwk,Netral
tumben fyp,tumben fyp,Netral
ternyata penyebutan ku selama benar,it turned out to be my mention as long as it was true,Positif
cool,cool,Positif
untuk penggunaan qris thailand pake aplikasi mbanking bni ya gabisa aplikasi aja bisa infonya beda beda jadi bingung,"for the use of qris thailand using the bni mbanking application, it can't be the application can be different, so confused",Negatif
rugi rate tapiiiii lebih murah money changeee,loss rate but cheaper money changer,Netral
januari kemaren beberapa tempat kl bisa bayar pakai qris,last january a few places can pay using qris,Negatif
kren kren,kren kren,Netral
keren bgtt masya allah,really cool,Positif
jangan kerja sama bareng amerika qris,don't cooperate with america qris,Netral
anjayy menyalaa bi,anjay lights up bi,Netral
sekarang sudah pakai qris negara mana min,now which country is using qris min,Netral
keren,cool,Positif
aaa keren bi,aaa cool bi,Positif
yg terpotong gimana hitungannya rupiah mata uang asing,what is cut off how the calculation of the rupiah is foreign currency,Negatif
bangga qris menduniaaaa,proud qris is worldwide,Positif
kereeen bangettt,really,Positif
ditunggu di tiongkok soalnya kesana depan,waiting for in china because there is a front,Netral
visa be like ada uang tambahan,visa be like there is additional money,Netral
sekarang bergantung ama qris hak pernah pke namaya debet card itu deber card,now it depends on the same qris never uses the debit card name,Netral
sy scan qris kereta bandara pakai apps maybank msia tak lepas merchant ad qris tak lepas,i scan the airport train using the maybank apps msia can not be separated,Netral
yeeee,yeeee,Netral
nice move bi,nice move bi,Positif
17 08 2025 udah gunakn qris negara jepang,17 08 2025 already using qris state japan,Netral
mohon qris bisa utk luar negri bayarnya pakai aplikasi saya pernah coba singapore bayar pake wondr bni bca mobile bisa,"please qris can be used for the country to pay using the application, i have tried singapore to pay using wondr bni bca mobile",Netral
visa master card menangis comberan,visa master card crying fanted,Negatif
asik bisa masuk malaysia terbiasa indonesia pake qris lebih enak blanja aja kerja malaysia,cool to be able to enter malaysia is accustomed to indonesia using qris is better to just work on malaysia,Positif
keren,cool,Positif
scan scen scan scen,scan scan scan,Netral
trump makin ketar ketir,trump is getting tightened,Netral
wih,wih,Netral
china bingung pakai qris jarang dipakai sistem lambat,china is confused about using qris rarely used a slow system,Negatif
madinah mekah jeddah,madinah mecca jeddah,Netral
tidak bayar pakai qris sistem kartu kredit saldonya,do not pay using the qris credit card balance system,Netral
free east turkestan,free east turkestan,Positif
keren,cool,Positif
wahhhg apaa,wahhh what,Netral
menyala Bank Indonesia lanjutkan,like bank indonesia continue,Netral
kereeeennnnnn,kereeeennnnnn,Netral
teknologi qris buatan indonesia bisa banggain,qris technology made in indonesia can be proud of,Positif
qris jepang sering error ribet transaksi seharihari,qris japan often errors complicated everyday transactions,Negatif
bangga,proud,Positif
keren bi,cool bi,Positif
hebat luar biasa,amazing great,Positif
taiwan knp ada,"taiwan, why is there",Netral
bi kerenzzz,bi kerenzzzz,Netral
allah bismillah qris gaada campur tangan politik kedepannya salah satu proyek negara sukses inii,allah bismillah qris doesn't have political intervention in the future one of the successful state projects,Positif
pernah makai males takut,ever used lazy to be afraid,Negatif
bi payment id jangan rilis privasi pliss,bi payment id don't release privacy of pliss,Netral
brrt bayar qris Bank Indonesia dinegara semua,pay qris bank indonesia in all countries,Netral
ih bangga bangetttttt,it's really proud,Positif
kelemahannya lama masuknyatoko pake qris suka lama masuknya,the disadvantage of a long time enterednenyatoko using qris likes for a long time,Negatif
kyuris bilang qr dah masih susah dibenerin bilang qris,kyuris said that qr was still difficult to generate to say qris,Negatif
china,china,Netral
semua warung makan pake qris katanya lambat masuk uangnya qris,all food stalls using qris are said to be slow to enter the money qris,Negatif
kalau begini masyarakat kepri petantang petenteng pergi pagi balik sore singapore ataupun malaysia,"if this is the people of the riau islands, the peter, the petenteng goes in the morning back in the evening singapore or malaysia",Netral
qris orang indonesia malu kalau gagal transaksi luar negeri wkw,qris indonesians are ashamed if failed foreign transactions wkw,Negatif
tidak makin miskin diindonesiaaja semenjak qris tangan gatal scan barcode but tetap bangga sama gebrakannya,not increasingly poorer in indonesiaja since the qris hand itching scan barcode but has remained proud of its breakthrough,Positif
mantap,excellent,Positif
tahu indonesia punya tanjak malaysia yukk mainmain pontianak,"know indonesia has malaysian climbing, let's play pontianak",Netral
wih mantap,wih great,Positif
semoga tiongkok cept sep ksna,"i hope china is cept, sep ksna",Netral
optimalisasi min qrisny kadang sering erorr,optimization min qris sometimes often errors,Netral
dulu 2023 thailand pakai qris enak kursnya lebih rendah dibanding money exchange,"previously, 2023 thailand used a tasty qris, the exchange rate was lower than the money exchange",Negatif
kren indo,kren indo,Netral
meskipun katanya praktis qris jepang sering lemot bikin antri,although he said practically japanese qris often slowly makes queued,Negatif
usah nuker duit,nuker money,Netral
pakai qris china ribet kurs rupiah lebih mahal,use qris china complicated rupiah exchange rate is more expensive,Negatif
uae katanya bentar bakal gimana gajinya masuk bank lokal bank sni juga bisa bayar pakai scan hehe kalau pakai qris berarti gw turut menyumbang berkembangnya ekonomi indonesia ya cuma kek ikhlas,"uae he said for a moment how would the salary enter the local bank of sni bank can also pay using a scan hehe if using qris means i contributed to the development of the indonesian economy, yes, just kek sincere",Positif
siap nih suruh liburan luar negeri depan liburan luar negeri,ready to tell the overseas vacation in front of the overseas vacation,Positif
tips kalau blg kasirnya qr nets kalau my pakai duitnow warna merah qrnya kalau di thailand thai qr national semua kasir paham kalo bilang diatas kok udh coba tahun lalu,"tips if the cashier is the net, the qr nets if my is using the red money, if in thailand thai qr national all the cashier understands if you say above, how come you have tried it last year",Netral
amerika amboii geramnya,america amboii furious,Netral
mantabb bi,mantabb bi,Netral
gara keseringan pake qris ribet bawa uang cash bayar parkir jalanan,"because of the frequency of using complicated qris, bring cash paying for street parking",Negatif
gen z sangat mendukung ini,gen z is very supportive of this,Positif
pajaknya ga,the tax is not,Netral
senang la lepas nak belanja indonesia,happy la let go of indonesian shopping,Positif
gokil,gokil,Netral
maaf keknya semua kasir luar ngerti qris pernah nanya bangkok paham kasir buat ngasi barcode qris,"sorry, all the cashiers outside understand qris have ever asked bangkok to understand the cashier to make a barcode qris",Negatif
kereennn bravo bank indonesia semoga mendunia metode,"cool bravo bank indonesia, hopefully worldwide method",Positif
bca qris yang banyak bsa gunain kn setauku,bca qris which can use a lot of kb setauku,Netral
menyala qris,light qris,Positif
menyala bank indonesia,light bank indonesia,Positif
es teh jumbo dkt kosan hrus tau kl bacanya qris bukan qyuris masak tiap beli ria sll bnrin qyyyyuurisss muluuu,ice tea jumbo dkt kosan must know if you read the qris instead of cooking qyuris every time buying ria sll bnrin qyyyuurisss muluuu,Netral
pinjam dulu 50 lahbesok diganti,borrow first 50 lahbesok replaced,Positif
mantap keren,great cool,Positif
bilang cara bayarnya gmn qris,"say how to pay it, qris",Netral
qris berlaku mobile banking atau shoppegopay,qris applies mobile banking or shoppegopay,Netral
gini wak kadang bayar pake qris gagal gara gara transaksi,"like this, sometimes paying using qris to fail because of the transaction",Negatif
semenjak qris tidak prnh bawa uang cashdompet lagicuma modal saldo jajan puas,"since qris hasn't been carrying cashdompet anymore, capital balance of snacks is satisfied",Positif
kamboja min,cambodia min,Netral
semoga qris bakalan pake sama warga lokal negara yaa,hopefully qris will use the local residents of the country,Netral
ayo warga indonesia makan makanan negeri boikot makanan luar amerika alat rumah tangga bumbu dapur beli produk indonesia,"come on, indonesian citizens eat food food boikot outside american household appliances spice kitchen buying indonesian products",Netral
korea,korea,Netral
ingat qris bukan kyurisssssss,remember qris is not kyurisssssss,Netral
keren,cool,Positif
kena potongan kalau pakai qris diluar negeri,hit by a cut if you use qris abroad,Netral
jangan jadikan ladang korupsi okeh,don't make corruption fields okeh,Netral
tunggu 17 agustus juli ke china dipake juli,"wait for august 17, july to china use july",Netral
indonesia,indonesia,Netral
warung ada biaya tambahan 2000 rupiah,warung there is an additional fee of 2000 rupiah,Netral
seru,exciting,Positif
bahkan belanja online tiktok aku selalu pake qris 5rb juga pake qris,even shopping online tiktok i always use qris 5rb too using qris,Netral
kereeen bi,kereeen bi,Netral
sekarang gabisa terima pembayaran thailand bulan maret lancar pelanggan ku thailand sama malaysia yang cuma malaysia,now can't receive thailand payments in march smoothly thailand's customers with malaysia who are only malaysia,Positif
pas mei kmrn coba bayar sg sama bkk belom,on may yesterday tried to pay for the child with the child,Netral
sumpah keren,cool oath,Positif
turis indonesia mengeluh qris jepang sering gagal pembayaran,indonesian tourists complain that japan qris often fails payment,Negatif
singaporean here just tried this two weeks ago seems to work with uob app but not posb hor,singaporean here is just tried this two weeks ago seems to work with uob app but not posb horum,Netral
keren,cool,Positif
keren,cool,Positif
scannya di qr wechat pay di china,scale in qr wechat pay in china,Netral
pake qris cara bayarnya ya kalau malaysia di kursin dulu otomatis,"use qris how to pay it, if malaysia is in kursin, it is automatic",Netral
mamarika doesnt like this,mamarika doesnt like this,Netral
ih keren,it's cool,Positif
nah baru keren,so it's just cool,Positif
menyalaaa,burning,Netral
thailand cukup scan contoh kalimat scan cai na kha bayar scan untuk qris sendiri kurang familiar cukup scan i pay scan easy english fyi semoga membantu,thailand just scan the example of the sentence scan cai na khapay scan for qris itself less familiar enough scan i pay scan easy english fyi hope it helps,Positif
cool,cool,Positif
minimal informasikan sana payment gatewaynya,minimum inform the payment gateway there,Netral
qris bukan kyuris,qris is not kyuris,Netral
kan orgindonesiatidak kekurangan pintar,right orgindonesiati no smart shortcomings,Positif
bisa ke denmark tahbiar wni denmark tak payah,can denmark tahbiar denmark indonesian citizens not poor,Positif
mantap,excellent,Positif
keren bangetttttt,really cool,Positif
potongan brapa di luar kurs,what pieces outside the exchange rate,Netral
saldo tetep rupiah bayar pake rupiah pedagangnya punya qris apa kita cuma scan barcode,the balance still rupiah paying using the rupiah traders have qris or we only scan barcode,Netral
sejak qris jajan pake qris trustukang grobakan perumahan jg pda pake keren,since qris snacks using qris trustukang grobakan housing also use cool,Positif
mau tambah jepang dinaikin limit ny disitu mahal,want to add japan to be raised by the limit there is expensive,Negatif
lama sebenarnya nah kali semua payment gateway,a long time actually all the payment gateway,Negatif
bravo indonesia dulu pernah nyerah berharap negara lebih baik,bravo indonesia once gave up hoping the country is better,Positif
koreaaa plizzzzz,korea plizz,Netral
otw thailand habis tgl 17 agustus,otw thailand runs out on august 17th,Netral
vietnam,vietnamese,Netral
keren,cool,Positif
berarti g usah tukar mata uang asing ya,means no need to exchange foreign currencies,Negatif
keren,cool,Positif
minusnya qris males pakai dompet ribeettt,minus qris lazy to use a ribeettt wallet,Negatif
seruu tinggal duit luar negeri ajaa,exclaimed only foreign money,Negatif
kurs qris jepang rugi kalau dibandingkan money changer,japanese qris exchange rate when compared to money changer,Netral
gak suka,do not like,Netral
yg kurang tepat komen kaka kalau niatnya pake bahasa aslinya inggris,"which is not right to comment, if the intention is to use the original english language",Positif
minusnya soannyebutnya kiuri,the minus is called kiuri,Negatif
dulu kasir alfa cust blng byr pakai qris langsung blng bayar pakai qris,"in the past, the alfa cust cashier said that paying using qris immediately said paying using qris",Negatif
pen thai,pen thai,Netral
taun pernah coba thai waktu thai bank indonesia sa pake qris jadiny bayar cash,"i have ever tried thai thai bank indonesia, i used qris jadiny to pay cash",Netral
qris is a product from indonesia i hope the philipines will also use it,qris is a product from indonesia i hope the philippines will also use it,Netral
ayokmi pi jalan transaksi lebih mudah perlu ke Bank Indonesia tukar duit,ayokmi pi transaction roads are easier to need to go to bank indonesia exchange money,Netral
g menarik,g is interesting,Positif
maaf keknya semua kasir luar ngerti qris pernah nanya bangkok paham kasir,"sorry, all the cashiers outside understand qris have ever asked bangkok to understand the cashier",Negatif
thailand pakai qris enak kursnya lebih rendah dibanding money exchange,thailand uses tasty qris the exchange rate is lower than money exchange,Netral
payment id tidak dibahas takut dihujat,payment id is not discussed afraid of being blasphemed,Negatif
kris beli kopi jajanan nasi uduk ku mendunia,kris buy my rice snack coffee my world,Netral
kereeennnn,kereeennnn,Netral
awesome bank indonesia,awesome bank indonesia,Positif
top bank indonesia,top bank indonesia,Positif
hongkong bisa,hong kong can,Netral
next south korea min,next south korea min,Netral
kena surcharge luar negeri pake qris lapor ga,hit by surfaces overseas using qris report or not,Netral
cintai produk lokal,love local products,Positif
pake bri dana,use bri dana,Netral
bedanya qris indonesia ama paynow kalau disingapur,the difference is qris indonesia and paynow if in singapore,Netral
keren bro,cool bro,Positif
australia ini,this australia,Netral
china pakai qris kurs rupiah rugi,china use qris rupiah exchange rate,Netral
jepang bingung qris 17 agustus 2025 malu lihat sistem error,"japan confused qris august 17, 2025 shame see the error system",Negatif
kereeeeeennnnnnn seneng kalau muncul rasa bangga nergara sendiri,kereeeeeen nnnn is happy that the pride of the country itself,Positif
internet bankingnya ada tabungan valasnya dulu engga,internet banking has a foreign exchange savings first,Positif
anjaaaayyyy keren baru bangga sama indo,anjaaayyy cool new proud of indo,Positif
mantap indonesia Bank Indonesia mendunia keren,steady indonesia bank indonesia worldwide cool,Positif
kalau ngomong qris soalnya lidah terbiasa gitu,when talking about qris because the tongue is used to it,Netral
beneran keren,really cool,Positif
bangga bagian suksesnya produk indonesia luar negeri,proud of the success of indonesian products overseas,Positif
menyala qris kuu lope yu pull bangga buatan negri,light qris kuu lop yu pull proudly made by the country,Positif
sederhana mamarika suka,simple mamarika likes,Netral
akhirnya pake di china,finally used in china,Netral
kereen bi,kereen bi,Netral
sayangnya taiwan terbiasa bayar qris,unfortunately taiwan is accustomed to paying qris,Negatif
lengah dikit pembayaran berhasil,careless a little successful payment,Positif
keren beneran keren,really cool cool,Positif
yang ketar ketir,which is drowning,Netral
qatar,qatar,Netral
seriiuuuussss,seriuuuussss,Netral
keren,cool,Positif
wahhh,wahhh,Netral
pdhl bbrp lalu iri liat pembayaran china cashless semua ternyata sekarang ikut merasakan sampe dipake china,pdhl some then jealous of the china cashless payments all turned out to be now feeling until the use of china,Netral
kalah jauh sama suica dibesarbesarin penemuan,far behind the suica exaggerated in the discovery,Negatif
internet lemot wassalam bayar,slow internet wassalam pay,Negatif
minbi dong adain taiwan para mbk pmi suka jajan bisa jajan,"min the minbi is taiwan, mbk pmi likes snacks to snacks",Netral
semakin mudah menghamburkan uangku,the easier it is to scatter my money,Netral
kemarin coba bayar pakai qris malaysia gagal transaksi internasional,yesterday tried to pay using qris malaysia failed international transactions,Negatif
dongdi saudi jugapenting bet buat umroh haji belanja belanja,dongdi saudi also important bet for umrah hajj shopping shopping,Positif
duh idenya bagus editannya kurenggggg,duh the idea is good edited i have,Positif
qris sbenarnya tdak canggih sulit mencapai kesepakatan antar bank,qris is actually not sophisticated difficult to reach an inter -bank agreement,Negatif
semoga qris tap device appleiphone min,i hope qris tap the apple iphone mini device,Netral
korea bang buka,korea bang opens,Netral
gasuka qriss sblmnya duitku ngendog bank mulu karna tinggal scan,gasuka qriss before my money is on the bank first because i just have to scan,Positif
minusnya qris pakek kuota,minus qris use quota,Negatif
alhamdulillah sdh pke qris sdh pasang di 2 tmpat usahaku n konter pulsa sangat mmbantu,"alhamdulillah, i have already installed it in 2 of my efforts and the credit counter is very helpful",Positif
